City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date - Time
0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
232,lavrentiya,0,RU,1528905432,76,65.58,-170.99,35.95,8.43,6/13/18 3:57 PM
233,bluefield,90,US,1528902900,78,37.27,-81.22,78.8,11.41,6/13/18 3:15 PM
234,te anau,8,NZ,1528905433,80,-45.41,167.72,27.22,2.84,6/13/18 3:57 PM
235,marawi,44,PH,1528905433,99,8,124.29,66.73,2.28,6/13/18 3:57 PM
236,amapa,75,HN,1528905600,83,15.09,-87.97,84.2,4.7,6/13/18 4:00 PM
237,palmer,75,AU,1528902000,82,-34.85,139.16,55.4,17.22,6/13/18 3:00 PM
238,cidreira,0,BR,1528905434,81,-30.17,-50.22,51.97,26.33,6/13/18 3:57 PM
239,saint-pierre,90,FR,1528903800,67,48.95,4.24,66.2,12.75,6/13/18 3:30 PM
240,aykhal,32,RU,1528905439,57,65.95,111.51,62.23,4.74,6/13/18 3:57 PM
241,ondangwa,0,NA,1528902000,13,-17.91,15.98,84.2,2.24,6/13/18 3:00 PM
242,pitimbu,40,BR,1528902000,54,-7.47,-34.81,84.2,17.22,6/13/18 3:00 PM
243,grandview,1,US,1528905300,65,38.89,-94.53,80.6,10.29,6/13/18 3:55 PM
244,williston,1,US,1528902900,36,48.15,-103.62,71.6,8.05,6/13/18 3:15 PM
245,maniitsoq,68,GL,1528905442,97,65.42,-52.9,36.31,5.53,6/13/18 3:57 PM
246,krasnyy yar,92,RU,1528905443,86,50.7,44.73,64.03,8.21,6/13/18 3:57 PM
247,nouadhibou,20,MR,1528902000,47,20.93,-17.03,80.6,14.99,6/13/18 3:00 PM
248,buritama,68,BR,1528905444,95,-21.07,-50.14,75.1,6.31,6/13/18 3:57 PM
249,longyearbyen,90,NO,1528901400,86,78.22,15.63,33.8,18.34,6/13/18 2:50 PM
250,lasa,20,CY,1528903800,74,34.92,32.53,80.6,6.93,6/13/18 3:30 PM
251,college,1,US,1528901880,75,64.86,-147.8,42.8,3.36,6/13/18 2:58 PM
252,ust-tsilma,12,RU,1528905445,84,65.44,52.15,54.4,3.62,6/13/18 3:57 PM
253,saint-augustin,64,FR,1528903800,82,44.83,-0.61,69.8,12.75,6/13/18 3:30 PM
254,berlevag,75,NO,1528901400,70,70.86,29.09,42.8,13.87,6/13/18 2:50 PM
255,havoysund,75,NO,1528903200,87,71,24.66,42.8,13.87,6/13/18 3:20 PM
256,kamina,0,CD,1528905450,23,-8.74,25,85,7.99,6/13/18 3:57 PM
257,yaan,48,NG,1528905450,100,7.38,8.57,85.9,7.09,6/13/18 3:57 PM
258,makakilo city,1,US,1528901820,83,21.35,-158.09,77,4.7,6/13/18 2:57 PM
259,along,100,IN,1528905450,98,28.17,94.8,68.89,1.5,6/13/18 3:57 PM
260,vanimo,88,PG,1528905451,100,-2.67,141.3,83.65,4.29,6/13/18 3:57 PM
261,hovd,75,NO,1528903200,48,63.83,10.7,62.6,4.7,6/13/18 3:20 PM
262,la maddalena,40,IT,1528903200,57,39.15,9.02,75.2,17.22,6/13/18 3:20 PM
263,grand gaube,75,MU,1528902000,69,-20.01,57.66,75.2,14.99,6/13/18 3:00 PM
264,novoagansk,20,RU,1528905453,37,61.94,76.66,67.81,8.43,6/13/18 3:57 PM
265,kearney,90,US,1528902900,64,40.7,-99.08,71.6,14.99,6/13/18 3:15 PM
266,geraldton,75,CA,1528902000,63,49.72,-86.95,62.6,8.05,6/13/18 3:00 PM
267,castro,0,CL,1528905454,99,-42.48,-73.76,39.73,2.73,6/13/18 3:57 PM
268,luganville,92,VU,1528905455,100,-15.51,167.18,75.19,4.85,6/13/18 3:57 PM
269,mahebourg,75,MU,1528902000,69,-20.41,57.7,75.2,14.99,6/13/18 3:00 PM
270,vostok,44,RU,1528905455,83,46.45,135.83,45.04,1.95,6/13/18 3:57 PM
271,esperance,75,TT,1528902000,88,10.24,-61.45,80.6,12.75,6/13/18 3:00 PM
272,fare,0,PF,1528905456,100,-16.7,-151.02,79.42,13.91,6/13/18 3:57 PM
273,toora-khem,92,RU,1528905456,83,52.47,96.11,57.82,2.84,6/13/18 3:57 PM
274,santa rita,36,VE,1528905458,64,10.21,-67.56,83.65,2.73,6/13/18 3:57 PM
275,west bay,40,GB,1528903200,77,50.71,-2.76,68,12.75,6/13/18 3:20 PM
276,gamba,92,CN,1528905459,91,28.28,88.52,32.35,2.28,6/13/18 3:57 PM
277,rudnya,92,RU,1528905459,88,50.8,44.56,63.31,7.65,6/13/18 3:57 PM
278,norman wells,90,CA,1528902000,65,65.28,-126.83,44.6,5.82,6/13/18 3:00 PM
279,salinas,1,US,1528904100,67,36.67,-121.66,60.8,3.62,6/13/18 3:35 PM
