,O,C,E,A,N,Cluster
151,8.4,8.2,7.2,8.799999999999999,5.4,4
152,6.8,6.0,5.199999999999999,8.2,4.4,1
153,7.8,8.6,3.000000000000001,5.6,9.0,0
154,8.200000000000001,6.6,5.4,7.6000000000000005,6.3999999999999995,1
155,8.8,6.3999999999999995,3.4000000000000004,8.6,6.4,1
156,7.6,4.6000000000000005,9.2,9.4,4.8,4
157,9.8,7.8,9.0,9.8,4.000000000000001,4
158,6.599999999999999,6.4,5.0,6.399999999999999,8.799999999999999,0
159,7.3999999999999995,7.999999999999998,6.199999999999999,8.4,6.200000000000001,1
160,9.6,8.6,8.399999999999999,9.2,5.800000000000001,4
161,7.6,3.7999999999999994,2.3999999999999995,8.2,7.200000000000001,0
162,9.6,6.6,8.4,8.799999999999999,6.799999999999999,2
163,9.0,3.8,8.0,8.6,5.2,2
164,7.799999999999999,8.2,5.6,7.999999999999999,3.7999999999999994,1
165,7.4,4.2,6.199999999999999,8.799999999999999,7.3999999999999995,2
166,8.6,6.3999999999999995,4.6,6.799999999999999,6.000000000000001,3
167,7.8,6.999999999999999,6.2,9.200000000000001,9.2,2
168,7.4,5.2,3.2,6.8,1.9999999999999998,3
169,9.2,7.199999999999999,7.999999999999999,10.0,3.4,4
170,7.800000000000001,7.199999999999999,3.5999999999999996,4.799999999999999,7.6000000000000005,3
171,8.0,5.4,4.6000000000000005,8.399999999999999,7.599999999999999,0
172,7.4,4.800000000000001,5.0,6.6,7.4,0
173,10.0,9.2,9.399999999999999,9.6,2.8000000000000003,4
174,7.6,8.399999999999999,4.6,5.6,2.8,3
175,8.4,7.0,4.6000000000000005,7.0,5.0,1
176,7.6,4.8,5.000000000000001,8.2,9.2,0
177,8.6,7.599999999999999,6.6,7.8,5.8,1
178,8.4,7.3999999999999995,6.0,7.3999999999999995,6.199999999999999,1
179,7.199999999999999,4.3999999999999995,5.0,6.999999999999998,5.800000000000001,3
180,8.799999999999999,7.199999999999999,7.199999999999999,7.799999999999999,5.4,4
181,9.8,4.8,7.8,4.199999999999999,5.6,3
182,7.6000000000000005,6.0,3.6000000000000005,4.4,9.6,0
183,9.6,5.8,9.4,9.0,3.6000000000000005,4
184,8.4,6.4,3.8000000000000007,7.6,9.0,0
185,9.8,5.599999999999999,4.800000000000001,6.999999999999999,9.399999999999999,0
186,7.0,7.2,8.200000000000001,7.199999999999999,5.800000000000001,4
187,6.800000000000001,6.199999999999999,5.4,7.0,4.4,3
188,9.2,5.399999999999999,3.8,3.9999999999999996,4.800000000000001,3
189,5.6000000000000005,7.0,4.3999999999999995,7.4,6.199999999999999,1
190,5.8,5.000000000000001,6.4,8.4,4.600000000000001,1
191,6.999999999999999,5.3999999999999995,6.6,8.399999999999999,7.6,2
192,7.3999999999999995,7.799999999999999,7.199999999999999,7.999999999999999,5.4,4
193,7.6,5.999999999999998,3.0000000000000004,3.5999999999999996,5.8,3
194,8.0,5.3999999999999995,4.199999999999999,7.199999999999999,6.6000000000000005,0
195,6.799999999999999,3.2,8.6,7.999999999999999,3.8,2
196,6.6,6.199999999999999,3.7999999999999994,5.8,7.0,0
197,6.399999999999999,7.399999999999999,7.000000000000001,8.6,5.4,1
198,6.0,7.6,8.6,8.8,5.4,4
199,8.8,5.6,2.5999999999999996,7.3999999999999995,3.6,3
200,7.199999999999999,7.4,5.8,8.0,6.199999999999999,1
201,5.4,4.800000000000001,1.9999999999999998,4.4,8.2,0
202,6.599999999999999,4.800000000000001,5.800000000000001,7.3999999999999995,6.4,2
203,8.8,6.999999999999999,9.8,9.6,8.6,2
204,6.4,8.200000000000001,3.3999999999999995,6.999999999999999,5.200000000000001,1
205,9.0,8.2,7.0,8.799999999999999,3.2000000000000006,4
206,6.799999999999999,7.6,4.0,6.599999999999999,7.4,0
207,6.0,6.999999999999999,5.3999999999999995,5.3999999999999995,5.799999999999999,3
208,6.599999999999999,7.799999999999999,8.799999999999999,9.6,4.6000000000000005,4
209,8.0,9.2,4.0,3.2,4.000000000000001,3
210,7.0,7.999999999999999,3.8,3.999999999999999,5.800000000000001,3
211,7.799999999999999,5.2,6.3999999999999995,7.999999999999999,6.000000000000001,2
212,9.0,7.3999999999999995,4.199999999999999,5.6,8.0,3
213,6.3999999999999995,6.2,5.0,8.0,6.199999999999999,1
214,6.199999999999999,8.2,8.2,9.0,6.799999999999999,2
215,4.400000000000001,6.6,4.000000000000001,8.4,6.2,1
216,9.399999999999999,8.6,5.4,9.0,7.799999999999999,1
217,9.399999999999999,6.6,7.800000000000001,8.600000000000001,5.800000000000001,2
218,7.6,8.200000000000001,7.3999999999999995,8.6,5.800000000000002,4
219,4.8,6.4,4.799999999999999,5.799999999999999,7.4,0
220,8.799999999999999,4.0,9.2,8.8,9.8,2
221,8.2,6.399999999999999,8.799999999999999,8.8,7.8,2
222,7.800000000000001,5.6,7.2,6.199999999999999,5.4,3
223,8.0,7.0,7.6,8.0,5.8,4
224,7.4,6.0,4.799999999999999,8.2,6.799999999999999,0
225,5.799999999999999,7.0,5.8,6.3999999999999995,7.200000000000001,0
226,8.6,6.8,6.0,8.8,7.0,2
227,9.4,5.2,7.799999999999999,5.4,4.2,3
228,6.799999999999999,5.6,3.8,7.8,7.2,0
229,7.999999999999999,5.0,4.199999999999999,5.799999999999999,6.6000000000000005,0
230,7.0,6.6,3.9999999999999996,7.199999999999999,6.6,0
231,8.8,5.3999999999999995,3.5999999999999996,4.999999999999999,9.6,0
232,8.4,5.4,3.1999999999999993,6.2,9.2,0
233,4.800000000000001,6.6000000000000005,5.4,8.399999999999999,9.0,0
234,9.399999999999999,5.3999999999999995,6.8,10.0,5.6,2
235,5.2,2.5999999999999996,2.3999999999999995,2.4,6.6,3
236,7.4,5.800000000000001,6.4,9.0,9.200000000000001,2
237,6.999999999999999,5.799999999999999,4.6,6.799999999999998,6.0,3
238,6.199999999999999,7.599999999999999,5.199999999999999,4.6000000000000005,9.0,0
239,7.4,7.599999999999999,3.5999999999999996,5.999999999999998,4.800000000000001,3
240,9.0,4.8,4.0,6.800000000000001,9.0,0
241,9.4,6.8,7.6,9.6,2.1999999999999997,4
242,7.4,5.0,5.0,8.200000000000001,9.2,0
243,5.4,5.0,3.3999999999999995,6.399999999999999,6.4,0
244,7.2,5.8,5.800000000000002,7.999999999999999,9.6,0
245,7.4,2.4,8.4,8.6,9.4,2
246,9.0,9.2,7.6000000000000005,7.000000000000001,6.6000000000000005,4
247,7.4,6.0,2.3999999999999995,5.6,5.6,3
